asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
90,496603.28125,ADM2,90,90,DOM,DOM-ADM2-62336421B49514077,Higüey,ADM2
91,15451.0400391,ADM2,91,91,DOM,DOM-ADM2-62336421B76797528,Río San Juan,ADM2
92,41702.2578125,ADM2,92,92,DOM,DOM-ADM2-62336421B58787563,Bisonó,ADM2
93,9678.26171875,ADM2,93,93,DOM,DOM-ADM2-62336421B5530140,Villa Los Almácigos,ADM2
94,24784.6953125,ADM2,94,94,DOM,DOM-ADM2-62336421B70852232,Peralvillo,ADM2
95,113165.40625,ADM2,95,95,DOM,DOM-ADM2-62336421B29458505,Mao,ADM2
96,68162.25,ADM2,96,96,DOM,DOM-ADM2-62336421B77406025,Tamayo,ADM2
97,60750.2578125,ADM2,97,97,DOM,DOM-ADM2-62336421B38288991,Villa Riva,ADM2
98,81052.3984375,ADM2,98,98,DOM,DOM-ADM2-62336421B68189672,Esperanza,ADM2
99,21094.4648438,ADM2,99,99,DOM,DOM-ADM2-62336421B10880169,Guayacanes,ADM2
100,84791.53125,ADM2,100,100,DOM,DOM-ADM2-62336421B7103872,Barahona,ADM2
101,135353.34375,ADM2,101,101,DOM,DOM-ADM2-62336421B55108079,Bonao,ADM2
102,9524.68359375,ADM2,102,102,DOM,DOM-ADM2-62336421B21553127,Pepillo Salcedo,ADM2
103,286818.65625,ADM2,103,103,DOM,DOM-ADM2-62336421B29453696,La Vega,ADM2
104,46179.7382812,ADM2,104,104,DOM,DOM-ADM2-62336421B90330677,San José De Ocoa,ADM2
105,8768.59277344,ADM2,105,105,DOM,DOM-ADM2-62336421B88117428,Rancho Arriba,ADM2
106,18108.2675781,ADM2,106,106,DOM,DOM-ADM2-62336421B20072103,Juan De Herrera,ADM2
107,33832.234375,ADM2,107,107,DOM,DOM-ADM2-62336421B90778804,San Ignacio De Sabaneta,ADM2
108,49835.3203125,ADM2,108,108,DOM,DOM-ADM2-62336421B53297903,Villa González,ADM2
109,13725.0019531,ADM2,109,109,DOM,DOM-ADM2-62336421B72256571,Vallejuelo,ADM2
110,20074.3320312,ADM2,110,110,DOM,DOM-ADM2-62336421B29499713,Villa Isabela,ADM2
111,23846.0664062,ADM2,111,111,DOM,DOM-ADM2-62336421B39182567,Villa Tapia,ADM2
112,46039.0625,ADM2,112,112,DOM,DOM-ADM2-62336421B99763360,Yaguate,ADM2
113,14799.2890625,ADM2,113,113,DOM,DOM-ADM2-62336421B30651151,Altamira,ADM2
114,70637.375,ADM2,114,114,DOM,DOM-ADM2-62336421B17174616,El Seibo,ADM2
115,16844.0039062,ADM2,115,115,DOM,DOM-ADM2-62336421B72513936,Jánico,ADM2
116,38675.609375,ADM2,116,116,DOM,DOM-ADM2-62336421B79811402,Salcedo,ADM2
117,10517.8867188,ADM2,117,117,DOM,DOM-ADM2-62336421B57321211,Restauración,ADM2
118,44643.25,ADM2,118,118,DOM,DOM-ADM2-62336421B48413139,San Gregorio de Nigua,ADM2
119,7234.34863281,ADM2,119,119,DOM,DOM-ADM2-62336421B62222259,Cayetano Germosén,ADM2
120,18934.8085938,ADM2,120,120,DOM,DOM-ADM2-62336421B3137389,Galván,ADM2
121,60474.3554688,ADM2,121,121,DOM,DOM-ADM2-62336421B23823201,Gaspar Hernández,ADM2
122,10448.8759766,ADM2,122,122,DOM,DOM-ADM2-62336421B16934408,Guayabal,ADM2
123,6288.42382812,ADM2,123,123,DOM,DOM-ADM2-62336421B71933720,Jaquimeyes,ADM2
124,39816.140625,ADM2,124,124,DOM,DOM-ADM2-62336421B53848573,Laguna Salada,ADM2
125,37673.8203125,ADM2,125,125,DOM,DOM-ADM2-62336421B19557401,La Mata,ADM2
126,49408.9140625,ADM2,126,126,DOM,DOM-ADM2-62336421B25639395,Las Matas De Farfán,ADM2
127,27196.6191406,ADM2,127,127,DOM,DOM-ADM2-62336421B61036746,Las Terrenas,ADM2
128,17069.5625,ADM2,128,128,DOM,DOM-ADM2-62336421B77895209,Loma De Cabrera,ADM2
129,101243.4375,ADM2,129,129,DOM,DOM-ADM2-62336421B31474430,Nagua,ADM2
130,6458.53710938,ADM2,130,130,DOM,DOM-ADM2-62336421B98396561,Partido,ADM2
